geneNames	transcriptNames	id	fc	pval	qval
.	MSTRG.467.1	493	21.9781200804594	0.000406704096048482	0.340818032488628
.	MSTRG.276.1	298	2.15535667141653	0.00119970587724771	0.406489049052125
.	MSTRG.399.1	424	1.24571166896822	0.00145521139278804	0.406489049052125
.	MSTRG.308.1	330	1.40013096113617	0.00229904714952367	0.481650377825209
.	MSTRG.415.1	440	2.34795740677548	0.0034323637564051	0.575264165573495
.	MSTRG.136.1	152	0.000161248866856967	0.00842887153706395	0.999425758125484
.	MSTRG.567.1	593	0.623757145301094	0.0104692119559733	0.999425758125484
.	MSTRG.433.2	459	40.5489785568163	0.0136278792525706	0.999425758125484
.	MSTRG.319.1	341	0.12713295833899	0.0136560870620652	0.999425758125484
.	MSTRG.59.1	70	0.865026189216745	0.0144114049428832	0.999425758125484
.	MSTRG.453.1	479	3935.66207045591	0.0156340603263543	0.999425758125484
.	MSTRG.480.1	506	866.563151283128	0.0166804623406511	0.999425758125484
.	MSTRG.102.1	113	0.000100216081565673	0.0179043836535429	0.999425758125484
.	MSTRG.311.1	333	6.62689903581236e-05	0.0192000708111844	0.999425758125484
.	MSTRG.443.1	469	1.48189394066053	0.0195201335705548	0.999425758125484
.	MSTRG.622.1	648	7.89312342172511	0.0205426923030605	0.999425758125484
.	MSTRG.343.1	366	0.698760159501415	0.0233061250893934	0.999425758125484
.	MSTRG.282.1	304	1.14657996435427	0.0245003297100956	0.999425758125484
.	MSTRG.129.1	142	0.211327461609052	0.0258084696521225	0.999425758125484
.	MSTRG.612.1	638	8.34144158547508	0.026255035169551	0.999425758125484
.	MSTRG.812.1	842	1.34927988677412	0.0265844187830725	0.999425758125484
.	MSTRG.241.1	263	13.0468623991317	0.0286528316185974	0.999425758125484
.	MSTRG.91.1	102	0.210017003248683	0.0297128488054196	0.999425758125484
.	MSTRG.7.4	10	2.1071696868014	0.0298965409099261	0.999425758125484
.	MSTRG.460.1	486	2.77113985780318	0.0315130396239713	0.999425758125484
.	MSTRG.488.1	514	2.70360363853368	0.032976457285113	0.999425758125484
.	MSTRG.759.1	787	3.00473718804806	0.035115138934371	0.999425758125484
.	MSTRG.100.1	111	1.27085265703124	0.0382353544142688	0.999425758125484
.	MSTRG.93.1	104	0.334089568348668	0.039006998832773	0.999425758125484
.	MSTRG.726.1	754	13.9735063978025	0.0398633304707544	0.999425758125484
.	MSTRG.722.2	750	77.061839145072	0.0429474788810749	0.999425758125484
.	MSTRG.778.1	807	1.28180187069047	0.0441890985123076	0.999425758125484
.	MSTRG.755.1	783	2.74805204821682	0.044563662263045	0.999425758125484
.	MSTRG.204.1	224	1.97428161601532	0.045310960513568	0.999425758125484
